name,explanation,image_url
2-input-and-gate.png,"This image is a diagram that illustrates the process of inputting data and passing it through a gate in an electronic circuit. The truth table below the diagram shows the relationship between the inputs (A, B) and the output (Y). In this case, the gate operates as an AND gate, which means that the output will only be true (1) if both inputs are true (1).",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/2-input-and-gate.png?
2-input-or-gate.PNG,"This image shows a 2-input OR gate, which is a basic digital logic gate that performs the logical operation of OR. The truth table for this gate is also provided in the diagram.

The input A and B are connected to the inputs of the OR gate, while the output represents the result of the OR operation between these two inputs. In this case, if either input A or B is at logic level 1 (true), the output will be at logic level 1 as well. If both inputs are at logic level 0 (false), the output will remain at logic level 0.",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/2-input-or-gate.PNG?
3-input-and-gate.png,"The image is a diagram that represents a 3-input AND gate. The gate has three input terminals labeled A, B, and C, which are connected to the inputs of an AND gate.
In addition, there is a table called ""Truth Table"" below the diagram. This table shows the possible combinations of input values for each terminal (A, B, and C), as well as the corresponding output value for each combination. For example, if all three inputs are set to 1, then the output will also be 1. If any of the inputs are set to 0, then the output will be 0 regardless of the other inputs.

",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/3-input-and-gate.png?
3-input-or-gate.png,"The image is a diagram of a 3-input OR gate, which is a digital logic gate that outputs true (1) when any one of its three inputs A, B, or C is true. The truth table below the diagram shows the input-output relationship for this gate.
",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/3-input-or-gate.png?
AND-gate-using-transistor.png,"The base terminal of both the transistors Q1 and Q2 are connected to inputs A and B, respectively through resistors R1 & R2, and finally, the emitter terminal of the transistor Q2 is connected directly to the ground using a resistor. When both input terminals are at a high voltage(1), it allows current to flow through the transistor, turning on the output terminal(1). If either input terminals are at low(0) voltage, no current flows, keeping the output terminal off(0).",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/AND-gate-using-transistor.png?
DIAC-Construction.PNG,"A diac is a two-terminal, three layer bidirectional device which can be switched from its OFF state to ON state for either polarity of applied voltage. The diac can be constructed in either npn or pnp form. Fig. 21.17 (i) shows the basic structure of a diac in pnp form. The two leads are connected to p-regions of silicon separated by an n-region. The structure of diac is very much similar to that of a transistor. Fig. 21.17 (ii) shows the symbol of a diac.",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/DIAC-Construction.PNG?
DIAC-characteristics-curve.PNG,"The following characteristic curve shows the relation between the main voltage and main current of a DIAC. As you can see, the DIAC only operate in 1st and 3rd quadrant. It is a symmetrical device; therefore, the graph is symmetrical in both quadrants forming the shape of letter “Z”.In 1st quadrant, the voltage and current are positive. As you can see, when the voltage is below the break over voltage VBO, the DIAC blocks the current except for the leakage current. The device remains in OFF-state. Once the voltage increases, the DIAC triggers into ON-state and the current rises. The voltage across the device starts to reduce to steady ON-state voltage.

The device operates similarly in the 3rd quadrant. The only difference between the 1st and 3rd quadrant is that the voltage and current are reverse. That is it.",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/DIAC-characteristics-curve.PNG?
Forward-Blocking-mode-SCR.PNG,"The image shows a forward-blocking mode silicon controlled rectifier (SCR) circuit diagram. In the forward blocking mode, the SCR is forward biased by connecting the anode (A) to the positive terminal and the cathode (K) to the negative terminal of the power supply. 
Junctions J1 and J3 are forward biased.Junction J2 is reverse biased.Although J1 and J3 allow current to flow, J2 prevents it due to its reverse-biased state. Consequently, the SCR remains in a high-impedance state, blocking any significant current, except for a small leakage current (forward leakage current).",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/Forward-Blocking-mode-SCR.PNG?
Forward-conducting-mode-SCR.PNG,"The image is a diagram of a forward-conducting mode silicon controlled rectifier (SCR). This can be achieved in two ways:
Break Over Voltage (VB): By increasing the anode-cathode voltage beyond a specific threshold called the breakover voltage (VB), the reverse-biased junction J2 breaks down. This results in a large current flow through the SCR.
Gate Triggering: By applying a positive voltage to the gate terminal (G) relative to the cathode (K), the SCR can be triggered into conduction without requiring the voltage to reach the breakover level. The gate current induces carriers in the J2 junction, making it conductive and allowing current to flow from anode to cathode.",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/Forward-conducting-mode-SCR.PNG?
Full-adder-with-truth-table.png,"The image is a truth table for a full adder, which is a digital logic gate that performs addition of three binary numbers.  The truth table shows the input and output values for each combination of inputs A, B, and C. The outputs are represented by Sum (sum) and Carry (carry-out).",https://qkbjnciqtosdvknjsqeo.supabase.co/storage/v1/object/public/images/public/Full-adder-with-truth-table.png?
